ID,SCIENTIFIC NAME,LATITUDE,LONGITUDE,TIMESTAMP
A,Setophaga,45.92886906,-73.15765478,2013-07-22 04:59:00.000
A,Setophaga,46.40906081,-73.47613547,2013-07-22 17:00:00.000
A,Setophaga,43.49907557,-76.21177622,2013-07-23 05:11:00.000
A,Setophaga,43.39336783,-75.99885693,2013-07-23 17:10:00.000
A,Setophaga,43.58134824,-73.02042282,2013-07-25 04:58:00.000
A,Setophaga,45.8026004,-74.78230125,2013-07-25 17:05:00.000
A,Setophaga,43.7783288,-76.65004329,2013-07-26 05:13:00.000
A,Setophaga,42.1309695,-75.22731308,2013-07-26 17:07:00.000
A,Setophaga,45.55956118,-72.58525258,2013-07-27 04:56:00.000
A,Setophaga,45.61476114,-72.48524107,2013-07-27 16:56:00.000
A,Setophaga,44.05346925,-73.92863554,2013-07-28 05:02:00.000
A,Setophaga,41.36096332,-71.75861965,2013-07-28 16:53:00.000
A,Setophaga,42.46916802,-71.0814049,2013-07-29 04:50:00.000
A,Setophaga,43.69436982,-71.86975497,2013-07-29 16:53:00.000
A,Setophaga,42.90877202,-72.60537636,2013-07-30 04:56:00.000
A,Setophaga,45.44612954,-74.43606535,2013-07-30 17:04:00.000
A,Setophaga,44.66641341,-75.21492327,2013-07-31 05:07:00.000
A,Setophaga,44.23098728,-74.72701623,2013-07-31 17:05:00.000
A,Setophaga,45.35243439,-74.00329715,2013-08-01 05:02:00.000
A,Setophaga,41.24099315,-70.85610291,2013-08-01 16:49:00.000
A,Setophaga,39.79058003,-71.93250094,2013-08-02 04:54:00.000
A,Setophaga,41.58796275,-72.96696836,2013-08-02 16:58:00.000
A,Setophaga,39.2374617,-74.60196862,2013-08-03 05:04:00.000
A,Setophaga,36.19917814,-72.72527311,2013-08-03 16:57:00.000
A,Setophaga,39.29960416,-71.06446353,2013-08-04 04:50:00.000
A,Setophaga,42.21511036,-72.7658395,2013-08-04 16:57:00.000
A,Setophaga,40.32802857,-74.10971991,2013-08-05 05:02:00.000
A,Setophaga,41.36932568,-74.61760238,2013-08-05 17:04:00.000
A,Setophaga,42.9146272,-73.76451002,2013-08-06 05:00:00.000
A,Setophaga,43.79535659,-74.20016915,2013-08-06 17:02:00.000
A,Setophaga,43.79017312,-74.36208898,2013-08-07 05:03:00.000
A,Setophaga,40.92487989,-72.39295052,2013-08-07 16:55:00.000
A,Setophaga,39.55241537,-73.33220596,2013-08-08 04:58:00.000
A,Setophaga,41.50002699,-74.32416238,2013-08-08 17:02:00.000
A,Setophaga,39.1631609,-75.80693429,2013-08-09 05:08:00.000
A,Setophaga,39.44622259,-75.82500891,2013-08-09 17:08:00.000
A,Setophaga,43.79803394,-73.40580839,2013-08-10 04:59:00.000
A,Setophaga,44.77910062,-73.87155316,2013-08-10 17:00:00.000
A,Setophaga,45.41430142,-73.6245854,2013-08-11 04:59:00.000
A,Setophaga,45.13710309,-73.26695579,2013-08-11 16:58:00.000
A,Setophaga,44.76580609,-73.67956735,2013-08-12 04:59:00.000
A,Setophaga,43.68287216,-72.84100349,2013-08-12 16:56:00.000
A,Setophaga,41.88213601,-74.04502454,2013-08-13 05:01:00.000
A,Setophaga,41.65753952,-73.76564443,2013-08-13 16:59:00.000
A,Setophaga,41.1352433,-74.20082774,2013-08-14 05:01:00.000
A,Setophaga,37.73375823,-72.36506476,2013-08-14 16:54:00.000
A,Setophaga,40.19216708,-71.31471256,2013-08-15 04:49:00.000
A,Setophaga,44.98941481,-73.76429156,2013-08-15 16:59:00.000
A,Setophaga,44.55591002,-74.19552348,2013-08-16 05:01:00.000
A,Setophaga,43.95163751,-73.67891463,2013-08-16 16:58:00.000
A,Setophaga,45.74964221,-72.82571735,2013-08-17 04:55:00.000
A,Setophaga,45.50554415,-72.49806559,2013-08-17 16:53:00.000
A,Setophaga,44.44618929,-73.27570821,2013-08-18 04:56:00.000
A,Setophaga,45.27231582,-73.5514577,2013-08-18 16:57:00.000
A,Setophaga,45.22857361,-73.75958926,2013-08-19 04:58:00.000
A,Setophaga,42.30619189,-72.07417997,2013-08-19 16:51:00.000
A,Setophaga,41.97481427,-72.39802012,2013-08-20 04:53:00.000
A,Setophaga,45.94520212,-74.23798815,2013-08-20 17:00:00.000
A,Setophaga,45.99945012,-74.39931806,2013-08-21 05:00:00.000
A,Setophaga,43.8507806,-73.11221122,2013-08-21 16:55:00.000
A,Setophaga,44.35831726,-73.04175869,2013-08-22 04:55:00.000
A,Setophaga,39.85464554,-70.84970662,2013-08-22 16:46:00.000
A,Setophaga,34.9443975,-72.85225667,2013-08-23 04:54:00.000
A,Setophaga,40.84662669,-74.94806718,2013-08-23 17:02:00.000
A,Setophaga,44.93893769,-73.30249467,2013-08-24 04:55:00.000
A,Setophaga,43.59689103,-72.503243,2013-08-24 16:52:00.000
A,Setophaga,43.57815687,-72.68922783,2013-08-25 04:52:00.000
A,Setophaga,44.67454588,-72.99434693,2013-08-25 16:53:00.000
A,Setophaga,39.29581762,-75.3455546,2013-08-26 05:03:00.000
A,Setophaga,32.53693458,-72.99897746,2013-08-26 16:53:00.000
